 Project Number , Site Work , Structures , Requirements , Overhead , Profit , Prevailing Wages , Insurance , Third Party Management , Total Constr Costs ,GC Fee Percentage (of Total Costs),GC Fee Percentage (of Hard Costs)
 CA-24-538 ," $3,485,969 "," $23,906,624 "," $1,969,369 "," $984,685 "," $984,685 ", $-   ," $441,775 "," $117,000 "," $32,362,649 ",14%,18%
 CA-24-539 , $-   ," $71,790,043 "," $2,821,917 "," $2,760,448 ", $-   , $-   ," $1,216,576 "," $325,000 "," $80,349,380 ",8%,9%
 CA-24-540 ," $3,686,110 "," $17,749,951 "," $1,236,161 "," $796,640 "," $796,639 "," $6,673,040 "," $501,882 "," $250,000 "," $31,991,552 ",10%,19%
 CA-24-541 ," $475,000 "," $31,350,996 "," $2,567,323 ", $-   ," $1,283,661 ", $-   ," $539,138 "," $175,000 "," $37,291,118 ",12%,14%
 CA-24-542 ," $2,121,922 "," $41,480,312 "," $1,635,174 "," $2,019,780 "," $2,019,780 "," $13,826,771 "," $702,532 "," $300,000 "," $66,661,935 ",10%,15%
 CA-24-543 ," $8,603,769 "," $29,327,161 "," $3,967,794 "," $1,017,383 "," $2,216,706 "," $11,282,263 "," $580,710 "," $250,000 "," $58,901,744 ",13%,27%
 CA-24-544 ," $1,500,000 "," $15,814,400 "," $1,052,784 "," $371,984 "," $1,115,951 ", $-   ," $450,000 ", $-   ," $20,305,119 ",15%,19%
 CA-24-545 ," $1,168,000 "," $14,542,437 "," $1,308,176 "," $462,222 "," $1,386,667 "," $5,687,500 ", $-   , $-   ," $24,555,002 ",13%,22%
 CA-24-546 ," $300,000 "," $74,834,566 ", $-   ," $1,652,830 "," $2,814,734 ", $-   ," $1,090,240 "," $240,000 "," $80,932,370 ",7%,7%
 CA-24-547 ," $7,004,548 "," $34,262,178 "," $3,176,192 ", $-   ," $2,241,161 "," $7,793,723 "," $933,664 "," $250,000 "," $55,661,467 ",11%,19%
 CA-24-548 , $-   ," $44,681,291 "," $2,680,877 "," $777,551 "," $2,680,877 ", $-   ," $1,607,605 ", $-   ," $52,428,201 ",15%,17%
 CA-24-549 , $-   ," $4,834,000 "," $290,040 "," $96,680 "," $290,040 ", $-   , $-   , $-   ," $5,607,440 ",12%,14%
 CA-24-550 ," $1,230,000 "," $25,212,200 "," $1,343,360 "," $1,209,024 "," $1,209,024 ", $-   ," $1,221,754 "," $192,000 "," $31,617,362 ",16%,20%
 CA-24-551 , $-   ," $30,069,403 "," $1,804,164 "," $601,388 "," $1,804,164 ", $-   ," $652,429 ", $-   ," $34,931,548 ",14%,16%
 CA-24-552 ," $2,125,000 "," $34,874,281 "," $1,479,971 "," $1,109,978 "," $2,589,950 ", $-   , $-   , $-   ," $42,179,180 ",12%,15%
 CA-24-553 ," $254,435 "," $9,893,335 "," $641,074 "," $272,072 "," $272,072 ", $-   ," $214,404 "," $144,000 "," $11,691,391 ",12%,14%
 CA-24-554 ," $1,107,683 "," $11,736,336 "," $829,697 "," $414,849 "," $414,848 ", $-   ," $108,499 ", $-   ," $14,611,912 ",12%,15%
 CA-24-555 ," $1,044,968 "," $44,847,330 "," $4,608,822 "," $921,764 "," $921,765 ", $-   ," $1,050,812 ", $-   ," $53,395,461 ",14%,17%
 CA-24-556 , $-   ," $14,509,545 "," $870,573 "," $307,602 "," $922,807 ", $-   ," $176,871 ", $-   ," $16,995,030 ",13%,16%
 CA-24-557 , $-   ," $31,353,450 "," $2,194,742 ", $-   ," $2,194,742 ", $-   ," $162,779 ", $-   ," $35,905,713 ",13%,15%
 CA-24-558 , $-   ," $9,437,946 "," $566,277 "," $200,084 "," $600,253 ", $-   ," $115,049 ", $-   ," $11,054,666 ",13%,16%
 CA-24-559 ," $2,677,708 "," $34,605,134 "," $2,292,263 "," $1,065,073 "," $1,065,073 ", $-   ," $867,841 "," $174,500 "," $42,747,592 ",12%,15%
 CA-24-560 , $-   ," $21,285,531 "," $1,530,050 "," $1,125,156 "," $482,210 "," $8,277,706 "," $238,055 "," $76,000 "," $33,452,340 ",10%,16%
 CA-24-561 ," $1,310,338 "," $23,390,103 "," $1,853,923 "," $561,854 "," $561,854 ", $-   ," $128,175 ", $-   ," $27,806,247 ",11%,13%
 CA-24-562 ," $4,794,126 "," $74,057,543 "," $5,529,735 "," $2,764,868 "," $2,764,868 ", $-   ," $1,837,136 "," $150,000 "," $93,699,390 ",14%,17%
 CA-24-563 ," $459,733 "," $20,890,265 "," $1,555,775 "," $700,099 "," $855,676 ", $-   ," $506,738 "," $123,500 "," $25,516,598 ",14%,17%
 CA-24-564 ," $679,236 "," $21,437,371 "," $1,832,975 "," $1,221,439 ", $-   , $-   ," $733,453 ", $-   ," $28,404,474 ",13%,18%
 CA-24-565 ," $118,000 "," $13,920,201 "," $803,850 "," $344,652 "," $344,652 "," $2,456,506 "," $387,476 "," $104,000 "," $18,634,557 ",10%,14%
 CA-24-566 ," $718,862 "," $17,967,614 "," $673,021 "," $876,966 "," $876,966 ", $-   ," $328,452 ", $-   ," $21,441,881 ",13%,15%
